2026-06-30 22:11:47,040 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:21:45,336 - Method: GET | Path: /api/employees | IP: 127.0.0.1
2026-06-30 22:21:45,346 - Method: GET | Path: /api/analytics | IP: 127.0.0.1
2026-06-30 22:21:45,351 - Method: GET | Path: /api/pending-users | IP: 127.0.0.1
2026-06-30 22:21:50,775 - Method: POST | Path: /api/approve-user | IP: 127.0.0.1
2026-06-30 22:21:52,500 - Method: POST | Path: /api/approve-user | IP: 127.0.0.1
2026-06-30 22:22:00,327 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:00,372 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:00,405 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:00,437 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:22:00,475 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:22:15,321 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:15,348 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:15,384 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:15,434 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:22:15,465 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:22:30,977 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:30,995 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:31,009 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:31,025 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:22:31,039 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:22:46,001 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:46,015 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:46,028 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:22:46,043 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:22:46,058 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:23:01,002 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:23:01,019 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:23:01,037 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:23:01,056 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:23:01,071 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
2026-06-30 22:25:03,759 - Method: GET | Path: /api/employees | IP: 127.0.0.1
2026-06-30 22:26:36,996 - Method: GET | Path: /api/employees | IP: 127.0.0.1
2026-06-30 22:33:50,607 - Method: GET | Path: /api/employees | IP: 127.0.0.1
2026-06-30 22:33:50,608 - Method: GET | Path: /api/analytics | IP: 127.0.0.1
2026-06-30 22:33:50,616 - Method: GET | Path: /api/pending-users | IP: 127.0.0.1
2026-06-30 22:34:05,628 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:34:05,696 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:34:05,739 - Method: POST | Path: /api/sync-attendance | IP: 127.0.0.1
2026-06-30 22:34:05,785 - Method: POST | Path: /api/submit-leave | IP: 127.0.0.1
2026-06-30 22:34:05,809 - Method: POST | Path: /api/ask-policy | IP: 127.0.0.1
